Agence,NomAgence,Référence,Type,Arrêt,Adresse,Ville,Secteur Inter.,Nom Client,Nom Technicien,adresse_complete,longitude,latitude
1,Agence Genas,AF258897,Porte sectionnelle,Non,36 Boulevard de Schweighouse,BRIGNAIS,73,SPIE MARCHE FM GRT GAZ TRM ,Yann GENIEIS,"36 Boulevard de Schweighouse, BRIGNAIS, France",4.7591244,45.6667075
1,Agence Genas,AF258898,Portail,Non,70 Rue Raspail,DECINES,58,SPIE MARCHE FM GRT GAZ TRM ,Olivier VUILLAUME ,"70 Rue Raspail, DECINES, France",4.9484265,45.7600523
1,Agence Genas,AF258899,Porte sectionnelle,Non,36 Boulevard de Schweighouse,BRIGNAIS,73,SPIE MARCHE FM GRT GAZ TRM ,Yann GENIEIS,"36 Boulevard de Schweighouse, BRIGNAIS, France",4.7591244,45.6667075
1,Agence Genas,AF258902,Portail,Non,36 Boulevard de Schweighouse,BRIGNAIS,73,SPIE MARCHE FM GRT GAZ TRM ,Yann GENIEIS,"36 Boulevard de Schweighouse, BRIGNAIS, France",4.7591244,45.6667075
1,Agence Genas,AF258903,Porte sectionnelle,Non,36 Boulevard de Schweighouse,BRIGNAIS,73,SPIE MARCHE FM GRT GAZ TRM ,Yann GENIEIS,"36 Boulevard de Schweighouse, BRIGNAIS, France",4.7591244,45.6667075
1,Agence Genas,AF258904,Portail,Non,36 Boulevard de Schweighouse,BRIGNAIS,73,SPIE MARCHE FM GRT GAZ TRM ,Yann GENIEIS,"36 Boulevard de Schweighouse, BRIGNAIS, France",4.7591244,45.6667075
1,Agence Genas,AF258905,Porte sectionnelle,Non,36 Boulevard de Schweighouse,BRIGNAIS,73,SPIE MARCHE FM GRT GAZ TRM ,Yann GENIEIS,"36 Boulevard de Schweighouse, BRIGNAIS, France",4.7591244,45.6667075
1,Agence Genas,AF258907,Porte sectionnelle,Non,36 Boulevard de Schweighouse,BRIGNAIS,73,SPIE MARCHE FM GRT GAZ TRM ,Yann GENIEIS,"36 Boulevard de Schweighouse, BRIGNAIS, France",4.7591244,45.6667075
1,Agence Genas,AF258908,Ascenseur,Non,18 BOULEVARD DES BELGES,LYON,56,SDC 18 BOULEVARD DES BELGES,Yaya DOUCOURE ,"18 BOULEVARD DES BELGES, LYON, France",4.8467914,45.7753429
1,Agence Genas,AF258910,Ascenseur,Non,36 Boulevard de Schweighouse,BRIGNAIS,71,SPIE MARCHE FM GRT GAZ TRM ,Kenzy CHABBI,"36 Boulevard de Schweighouse, BRIGNAIS, France",4.7591244,45.6667075
1,Agence Genas,AF258914,Ascenseur,Non,15 RUE DE GERLAND,LYON,71,LES ALLEES JEAN MACE,Kenzy CHABBI,"15 RUE DE GERLAND, LYON, France",4.8410741,45.7417171
1,Agence Genas,AF258915,Ascenseur,Non,15 RUE DE GERLAND,LYON,71,LES ALLEES JEAN MACE,Kenzy CHABBI,"15 RUE DE GERLAND, LYON, France",4.8410741,45.7417171
1,Agence Genas,AF258916,Ascenseur,Non,15 RUE DE GERLAND,LYON,71,LES ALLEES JEAN MACE,Kenzy CHABBI,"15 RUE DE GERLAND, LYON, France",4.8410741,45.7417171
1,Agence Genas,AF258920,Monte-Charge,Non,223 COURS EMILE ZOLA,VILLEURBANNE,27,COMMISSARIAT VILLEURBANNE,Luc CHAROLLAIS,"223 COURS EMILE ZOLA, VILLEURBANNE, France",4.8850625,45.7685935
1,Agence Genas,AF258932,Portail,Non,22-24 RUE PAUL BOVIER LAPIERRE,BRIGNAIS,73,SNEF - Marché Orange Bron Fermeture,Yann GENIEIS,"22-24 RUE PAUL BOVIER LAPIERRE, BRIGNAIS, France",4.7615804,45.6672565
